Address,Size,LotSize,YearBuilt,Image
"530 45th St,
Brooklyn, NY, 11220","2,900sqft","2,003sqft lot",1915,https://ap.rdcpix.com/07c148d038a4a8829b1c96559709e948l-m1908188518od-w1024_h768.jpg
"637 41st St Apt 3B,
Brooklyn, NY, 11232",800sqft,N/A,N/A,https://ap.rdcpix.com/3b0e98fd9c75cc507efd1e8ca241f6e1l-m2446160283od-w1024_h768.jpg
"634 40th St,
Brooklyn, NY, 11232",N/A,"2,000sqft lot",N/A,https://ap.rdcpix.com/50711008330c767d424b3aba96147d73l-m3951037678od-w1024_h768.jpg
"662 45th St,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",N/A,https://ap.rdcpix.com/68efc63510040d85c13fcf4807821bf9l-m576799674od-w1024_h768.jpg
"745 48th St,
Brooklyn, NY, 11220","2,272sqft","2,003sqft lot",1930,https://ap.rdcpix.com/e9b493ed6b499b1fad5fe8c836084059l-m3803618744od-w1024_h768.jpg
"548 46th St Apt 3L,
Brooklyn, NY, 11220",819sqft,N/A,1922,https://ap.rdcpix.com/3998a763eacd406462c3a6448a3afcffl-m3969866625od-w1024_h768.jpg
"637 41st St Apt 1B,
Brooklyn, NY, 11232",730sqft,N/A,N/A,https://ap.rdcpix.com/26d7fd6fe2db2e9c52fffc322ca512b3l-m591715541od-w1024_h768.jpg
"4711 8th Ave Apt 4B,
Brooklyn, NY, 11220",621sqft,N/A,2009,https://ap.rdcpix.com/3618671622/c8348cfc23625ee5ef2ff474d74063b5l-m0od-w1024_h768.jpg
"869 52nd St,
Brooklyn, NY, 11220",900sqft,"2,003sqft lot",1990,https://ap.rdcpix.com/49306cca4f9f51d9cbebe5dc35ecbde8l-m1612137571od-w1024_h768.jpg
"5811 Sixth Ave Unit 5A,
Brooklyn, NY, 11220",808sqft,N/A,1935,https://ap.rdcpix.com/f516826b9ecd4211ad3797ea4c9d3c90l-m2700149063od-w1024_h768.jpg
"661 51st St Unit 8,
Brooklyn, NY, 11220",N/A,N/A,N/A,https://ap.rdcpix.com/f956f84ee53f9ff44e7061a18280942al-m925148836od-w1024_h768.jpg
"750 53rd St,
Brooklyn, NY, 11220","2,483sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/c83c9ce656cfe8bf5bdb6e78f80ca7e7l-m4202983806od-w1024_h768.jpg
"263 53rd St,
Brooklyn, NY, 11220","1,238sqft","1,703sqft lot",1910,https://ap.rdcpix.com/d16b0aee57cf9da682bfea7211e600bdl-m1650072361od-w1024_h768.jpg
"658 46th St,
Brooklyn, NY, 11220","3,750sqft","2,003sqft lot",1928,https://ap.rdcpix.com/8d78e5d6560aec1b9fe44be87b0aa405l-m3114023933od-w1024_h768.jpg
"5811 Sixth Ave Unit 3A,
Brooklyn, NY, 11220",572sqft,N/A,1935,https://ap.rdcpix.com/2d8912a5b40c376a09b7afdcf62d1becl-m2598038795od-w1024_h768.jpg
"725 58th St Lot 69,
Brooklyn, NY, 11220",N/A,"2,000sqft lot",N/A,https://ap.rdcpix.com/2b68e5d40e9ddf28648a04a8c81e1ddcl-m1992062938od-w1024_h768.jpg
"833 63rd St,
Brooklyn, NY, 11220","2,014sqft","2,250sqft lot",1920,https://ap.rdcpix.com/9dd67c3e82f2d449ed8a249c5d0dcad9l-m1412625395od-w1024_h768.jpg
"315 57th St,
Brooklyn, NY, 11220","1,600sqft","2,000sqft lot",1901,https://ap.rdcpix.com/27e47e1a3627e1c78ae8148c71bfcf89l-m1092530392od-w1024_h768.jpg
"832 53rd St,
Brooklyn, NY, 11220","1,300sqft","1,302sqft lot",1915,https://ap.rdcpix.com/5491c6f6f346d9162360efae35aae2c2l-m4248021768od-w1024_h768.jpg
"342 43rd St,
Brooklyn, NY, 11232","1,336sqft","1,953sqft lot",1910,https://ap.rdcpix.com/d6be72850a15207c4a933ea0740e76bcl-m716073971od-w1024_h768.jpg
"673 41st St Apt 14,
Brooklyn, NY, 11232",N/A,N/A,1924,https://ap.rdcpix.com/435a2e62e529bc372eb1d4c459b3076bl-m589170527od-w1024_h768.jpg
"453 44th St,
Brooklyn, NY, 11220","1,680sqft","1,670sqft lot",1910,https://ap.rdcpix.com/70ef56f768160b64cda814d686bd9805l-m3418152678od-w1024_h768.jpg
"667 47th St,
Brooklyn, NY, 11220","3,624sqft",N/A,N/A,https://ap.rdcpix.com/c26e518bab718144bfea450fccff0fbdl-m3496526189od-w1024_h768.jpg
"673 41st St Apt 5,
New York, NY, 11232",500sqft,N/A,N/A,https://ap.rdcpix.com/682304f3756f04ab53ab6a3e5e79fb0el-m2205999867od-w1024_h768.jpg
"350 43rd St,
Brooklyn, NY, 11232","2,000sqft","2,003sqft lot",1910,https://ap.rdcpix.com/96cbe28818d09da12a9b213c4b490bccl-m1631013656od-w1024_h768.jpg
"416 43rd St,
Brooklyn, NY, 11232","2,400sqft","2,003sqft lot",N/A,https://ap.rdcpix.com/580680047/c4e4aa50ed4f7bc7c79e911b38aad093l-m0od-w1024_h768.jpg
"462 48th St,
Brooklyn, NY, 11220","3,200sqft","2,003sqft lot",1910,https://ap.rdcpix.com/34834a72712ae6fe2de6681359440e4cl-m4040153229od-w1024_h768.jpg
"869 52nd St,
Brooklyn, NY, 11220","2,045sqft","2,003sqft lot",1990,https://ap.rdcpix.com/9dc82680d3891b4f7929cb397456b655l-m1293152593od-w1024_h768.jpg
